,count,mean,std,min,25%,50%,75%,max
KOPPIMOMIndex,2981.0,0.12175967960684003,0.6122683226328887,-2.4311920051011837,-0.20327428903929673,0.09799391068911242,0.4425872427727512,2.196779794201428
MWINCHNGIndex,2981.0,0.33960633412171626,0.7162338484800523,-2.0711585683877134,0.06698923427439639,0.41536758281107056,0.7632399707878739,2.1163659685204257
SamsungElectronics_close120,2981.0,-0.0690069798205364,0.6638972771535845,-4.091673257501995,-0.0747375284368399,0.035571417113294146,0.13959651304707243,2.0585930993898587
MGT2WHDUIndex,2981.0,1.5917615280021238,0.09840770467193988,1.450426191413784,1.5101878572113685,1.5786819537193015,1.6358033156202603,1.9503889458759416
RSTAXMOMIndex,2981.0,0.25363505045333823,0.7326709587311587,-4.0,-0.03088244903065407,0.323905254618465,0.7003205598196671,1.8676044947752253
KOMSMBYIndex120,2981.0,0.008799972601319893,0.5656833216853321,-2.127488676933078,-0.2505505394071528,-0.017511368216769352,0.251861169141099,1.8361335396507674
KOMSMBYIndex260,2981.0,0.008799972601319893,0.5656833216853321,-2.127488676933078,-0.2505505394071528,-0.017511368216769352,0.251861169141099,1.8361335396507674
LEICHNGIndex,2981.0,0.06358515760980349,0.7726174017775062,-3.300169484804142,-0.12074356117039566,0.2229017283299209,0.5178579857857196,1.817553995797074
Sumco_close260,2981.0,0.10613997085481965,0.3360546048311294,-0.6862941033582071,0.0,0.0,0.08866563708565645,1.8053108922311476
SKLILYIndex120,2981.0,-0.009703559296413599,0.4710884824940585,-1.0691074267744707,-0.30510616361517995,0.027506677282387315,0.21599931798281657,1.7272819867123879
SKLILYIndex260,2981.0,-0.009703559296413599,0.4710884824940585,-1.0691074267744707,-0.30510616361517995,0.027506677282387315,0.21599931798281657,1.7272819867123879
GDPPIQQIndex260,2981.0,-0.00622253852375294,0.6056205702694852,-1.9009916794952915,-0.2392455930008177,0.027854784549735445,0.29167562183566487,1.6876637902114684
GDPPIQQIndex120,2981.0,-0.00622253852375294,0.6056205702694852,-1.9009916794952915,-0.2392455930008177,0.027854784549735445,0.29167562183566487,1.6876637902114684
LEIIRTEIndex120,2981.0,0.04012842961887798,0.4674177381379823,-1.3459595415036385,-0.20324136980920526,0.004695029882356927,0.1876073336678865,1.6658058145494028
LEIIRTEIndex260,2981.0,0.04012842961887798,0.4674177381379823,-1.3459595415036385,-0.20324136980920526,0.004695029882356927,0.1876073336678865,1.6658058145494028
MGT2REIndex,2981.0,1.4430454935791674,0.057079381289018453,1.338372555757103,1.398979753013451,1.4417162640038048,1.488895127856815,1.6239142037303305
KOCPIMOMIndex260,2981.0,-0.010965275824326303,0.41729439282284003,-1.293621144174882,-0.28384226715095956,0.023657294704036227,0.24755217353405756,1.5316599138841593
KOCPIMOMIndex120,2981.0,-0.010965275824326303,0.41729439282284003,-1.293621144174882,-0.28384226715095956,0.023657294704036227,0.24755217353405756,1.5316599138841593
IPCHNGIndex,2981.0,0.04616085107347718,0.7139449383313637,-4.441657298618251,-0.2600861539381493,0.12519248533531252,0.4506394277808241,1.5237225138265398
COMFBTWRIndex120,2981.0,0.02741801494029058,0.3030189190118637,-0.8413456240819612,-0.09780883617581981,0.01871772733292243,0.14022672866606367,1.5232170024742682
COMFBTWRIndex260,2981.0,0.02741801494029058,0.3030189190118637,-0.8413456240819612,-0.09780883617581981,0.01871772733292243,0.14022672866606367,1.5232170024742682
KODFTOTYIndex260,2981.0,0.09298388693279312,0.602845867152766,-1.6204210785240605,-0.265890023681675,0.0009252575493886583,0.36714901334472594,1.492414700807919
KODFTOTYIndex120,2981.0,0.09298388693279312,0.602845867152766,-1.6204210785240605,-0.265890023681675,0.0009252575493886583,0.36714901334472594,1.492414700807919
