DATE,OPEN,HIGH,LOW,CLOSE,CHANGE
2018년 09월 12일,10.0685,10.1496,10.0401,10.0684,0.00%
2018년 09월 11일,10.1651,10.2426,10.0684,10.0684,-0.98%
2018년 09월 10일,10.1731,10.1991,10.1418,10.1678,0.07%
2018년 09월 07일,10.1393,10.2019,10.1025,10.1604,0.29%
2018년 09월 06일,10.0337,10.1502,10.0237,10.131,0.89%
2018년 09월 05일,10.0365,10.1152,9.9875,10.0412,0.07%
2018년 09월 04일,10.0121,10.0822,10.0034,10.0342,0.22%
2018년 09월 03일,10.0428,10.0842,9.9945,10.0117,-0.35%
2018년 08월 31일,10.0441,10.1075,10.0196,10.0465,0.02%
2018년 08월 30일,9.9502,10.0564,9.9152,10.0445,0.99%
2018년 08월 29일,9.9675,10.026,9.9284,9.9458,-0.21%
2018년 08월 28일,9.9825,10.0017,9.9443,9.9672,-0.17%
2018년 08월 27일,10.0272,10.0608,9.973,9.9838,-0.35%
2018년 08월 24일,10.0975,10.1197,9.9931,10.0184,-0.86%
2018년 08월 23일,10.1104,10.1419,10.093,10.1049,-0.06%
2018년 08월 22일,10.1303,10.1766,10.1062,10.1105,-0.12%
2018년 08월 21일,10.1517,10.1878,10.0901,10.1229,-0.35%
2018년 08월 20일,10.1311,10.1795,10.1176,10.1587,0.26%
2018년 08월 17일,10.1585,10.2027,10.1042,10.1326,-0.32%
2018년 08월 16일,10.2395,10.2914,10.1319,10.165,-0.73%
2018년 08월 15일,10.1499,10.3125,10.1317,10.2395,0.88%
2018년 08월 14일,10.2713,10.2861,10.1431,10.1499,-1.15%
2018년 08월 13일,10.192,10.326,10.1856,10.2682,0.79%
2018년 08월 10일,10.1135,10.2431,10.1016,10.1873,0.71%
2018년 08월 09일,10.0742,10.1283,10.0563,10.1155,0.48%
2018년 08월 08일,10.0294,10.1035,10.0216,10.0668,0.30%
2018년 08월 07일,10.1144,10.1388,10.0274,10.0367,-0.76%
2018년 08월 06일,10.1015,10.1317,10.0813,10.1136,0.17%
2018년 08월 03일,10.1053,10.1296,10.0503,10.096,-0.08%
2018년 08월 02일,10.0192,10.1548,10.0165,10.1044,0.84%
2018년 08월 01일,9.9509,10.0462,9.9459,10.02,0.69%
2018년 07월 31일,10.0726,10.1061,9.9298,9.9509,-1.12%
2018년 07월 30일,10.0419,10.0894,10.0309,10.064,0.15%
2018년 07월 27일,10.1121,10.1303,10.0398,10.049,-0.59%
2018년 07월 26일,10.0711,10.1386,10.0633,10.109,0.36%
2018년 07월 25일,10.1394,10.169,10.0626,10.0724,-0.65%
2018년 07월 24일,10.1849,10.2467,10.129,10.1386,-0.47%
2018년 07월 23일,10.1171,10.2344,10.1161,10.1863,0.62%
2018년 07월 20일,10.0961,10.147,10.0621,10.1239,0.27%
2018년 07월 19일,10.0254,10.1323,10.0116,10.0969,0.75%
2018년 07월 18일,9.9845,10.067,9.9612,10.0213,0.38%
2018년 07월 17일,10.0506,10.0574,9.9752,9.9836,-0.65%
2018년 07월 16일,10.0571,10.0724,10.0098,10.049,-0.08%
2018년 07월 13일,9.9918,10.0829,9.9584,10.0569,0.66%
2018년 07월 12일,10.0721,10.0923,9.9829,9.9905,-0.81%
2018년 07월 11일,10.0394,10.1419,10.0306,10.0722,0.34%
2018년 07월 10일,10.0421,10.0616,9.9995,10.0385,-0.05%
2018년 07월 09일,10.0942,10.1104,10.0352,10.0435,-0.55%
2018년 07월 06일,10.1162,10.1513,10.0582,10.0988,-0.19%
2018년 07월 05일,10.1032,10.1599,10.0883,10.1182,0.13%
2018년 07월 04일,10.084,10.1377,10.0735,10.1055,0.24%
2018년 07월 03일,10.0897,10.1548,10.0226,10.0817,-0.08%
2018년 07월 02일,10.0701,10.1273,10.049,10.0895,0.15%
2018년 06월 29일,10.1503,10.1642,10.0324,10.0744,-0.73%
2018년 06월 28일,10.1876,10.2152,10.1411,10.1484,-0.41%
2018년 06월 27일,10.1632,10.2204,10.1228,10.1901,0.27%
2018년 06월 26일,10.1614,10.228,10.1482,10.1623,0.01%
2018년 06월 25일,10.1078,10.2272,10.0958,10.1614,0.49%
2018년 06월 22일,10.096,10.1567,10.0442,10.1119,0.15%
2018년 06월 21일,10.0582,10.122,9.9974,10.0963,0.38%
2018년 06월 20일,10.1021,10.122,10.0231,10.0582,-0.44%
2018년 06월 19일,9.9825,10.1877,9.9789,10.103,1.21%
2018년 06월 18일,9.9694,10.0236,9.9494,9.982,0.12%
2018년 06월 15일,9.8455,9.9981,9.8341,9.9699,1.27%
2018년 06월 14일,9.8429,9.8647,9.8031,9.845,0.03%
2018년 06월 13일,9.8005,9.8447,9.7706,9.8425,0.42%
2018년 06월 12일,9.7867,9.8117,9.7174,9.8015,0.15%
2018년 06월 11일,9.8124,9.8394,9.7646,9.7867,-0.26%
2018년 06월 08일,9.7777,9.8724,9.7515,9.8123,0.40%
2018년 06월 07일,9.6814,9.8055,9.6735,9.7735,0.94%
2018년 06월 06일,9.7617,9.7665,9.6735,9.6827,-0.82%
2018년 06월 05일,9.7475,9.7917,9.712,9.7632,0.16%
