,date,SPXIndex,MSRUITIndex,MSRUMATIndex,MXWO0ITIndex,MXWO0MTIndex,MXUS0ITIndex,MXEF0ITIndex,MXEF0MTIndex,NU722094Index,NU721934Index,CL1Comdty,LMAHDS03Comdty,LMCADS03Comdty,XAUCurncy,LMNIDS03Comdty,CCMPIndex,NKYIndex,CINDIndex,IXKIndex,XCIIndex,SOXIndex,MSERIndex,NMDPIndex,SZCOMPIndex,KOSPIIndex
0,1981-01-02,136.34,,,,,,,,,,,,,,,203.55,,263.35,,,,,,,
1,1981-01-05,137.97,,,,,,,,,,,,,597.5,,204.17,7150.95,263.96,,,,,,,97.9
2,1981-01-06,138.12,,,,,,,,,,,,,599.25,,204.07,7137.59,262.64,,,,,,,93.1
3,1981-01-07,135.08,,,,,,,,,,,,,585,,197.35,7200.77,251.06,,,,,,,93.1
4,1981-01-08,133.06,,,,,,,,,,,,,574.75,,195.89,7222.14,248.5,,,,,,,96
5,1981-01-09,133.48,,,,,,,,,,,,,577.75,,197.66,7248.13,251.5,,,,,,,96.6
10120,1981-01-10,,,,,,,,,,,,,,,,,,,,,,,,,97.6
6,1981-01-12,133.52,,,,,,,,,,,,,562,,198.44,7251.88,252.38,,,,,,,99.5
7,1981-01-13,133.29,,,,,,,,,,,,,562.75,,198.05,7246.8,251.87,,,,,,,102.5
8,1981-01-14,133.47,,,,,,,,,,,,,556.5,,199.08,7244.78,253.59,,,,,,,107.4
9,1981-01-15,134.22,,,,,,,,,,,,,571.5,,199.85,,254.87,,,,,,,108.3
10,1981-01-16,134.77,,,,,,,,,,,,,560.75,,201.13,7255.85,256.9,,,,,,,107.8
10121,1981-01-17,,,,,,,,,,,,,,,,,,,,,,,,,106.7
11,1981-01-19,134.37,,,,,,,,,,,,,566.75,,201.58,7296.08,257.73,,,,,,,106.6
12,1981-01-20,131.65,,,,,,,,,,,,,562,,198.72,7289.98,253.07,,,,,,,104.9
13,1981-01-21,131.36,,,,,,,,,,,,,578,,198.09,7315.33,252.43,,,,,,,105.7
14,1981-01-22,130.26,,,,,,,,,,,,,564,,197.12,7293.28,251.06,,,,,,,105.8
15,1981-01-23,130.23,,,,,,,,,,,,,553,,197.52,7267.52,251.67,,,,,,,106.3
10122,1981-01-24,,,,,,,,,,,,,,,,,,,,,,,,,106.8
16,1981-01-26,129.84,,,,,,,,,,,,,528.5,,196.13,7249.42,249.4,,,,,,,106.2
17,1981-01-27,131.12,,,,,,,,,,,,,524,,197.18,7285.03,251.25,,,,,,,104.7
18,1981-01-28,130.34,,,,,,,,,,,,,523.5,,197.37,7279.41,251.38,,,,,,,104.2
19,1981-01-29,130.24,,,,,,,,,,,,,493.75,,197.88,7215.12,252.35,,,,,,,105.2
20,1981-01-30,129.55,,,,,,,,,,,,,506.5,,197.81,7254.01,251.76,,,,,,,105.3
10123,1981-01-31,,,,,,,,,,,,,,,,,,,,,,,,,105.7
21,1981-02-02,126.91,,,,,,,,,,,,,493.5,,193.09,7322.06,243.41,,,,,,,105.6
22,1981-02-03,128.46,,,,,,,,,,,,,486.25,,193.56,7291.31,244.07,,,,,,,104.9
23,1981-02-04,128.59,,,,,,,,,,,,,505,,194.57,7288.41,245.69,,,,,,,105.5
24,1981-02-05,129.63,,,,,,,,,,,,,498.5,,196.29,7278.44,248.31,,,,,,,105.8
25,1981-02-06,130.6,,,,,,,,,,,,,500.5,,197.87,7264.11,251.02,,,,,,,106
10124,1981-02-07,,,,,,,,,,,,,,,,,,,,,,,,,106
26,1981-02-09,129.27,,,,,,,,,,,,,512.5,,196.93,7239.9,249.11,,,,,,,105.3
27,1981-02-10,129.24,,,,,,,,,,,,,519.5,,196.7,7261.53,248.72,,,,,,,104.8
28,1981-02-11,128.24,,,,,,,,,,,,,501,,195.81,,247.07,,,,,,,
29,1981-02-12,127.48,,,,,,,,,,,,,490.25,,194.61,7261.49,244.87,,,,,,,104.4
30,1981-02-13,126.98,,,,,,,,,,,,,491.5,,193.89,7207.22,243.9,,,,,,,104.4
10125,1981-02-14,,,,,,,,,,,,,,,,,,,,,,,,,104.7
10056,1981-02-16,,,,,,,,,,,,,,490.25,,,7165.52,,,,,,,,103.7
31,1981-02-17,127.81,,,,,,,,,,,,,500.75,,193.98,7135.91,244.12,,,,,,,103.7
32,1981-02-18,128.48,,,,,,,,,,,,,505,,194.73,7157,245.4,,,,,,,103.2
33,1981-02-19,126.61,,,,,,,,,,,,,503.25,,192.74,7121.65,241.84,,,,,,,102.7
34,1981-02-20,126.58,,,,,,,,,,,,,511.5,,192.29,7100.81,240.87,,,,,,,103.2
10126,1981-02-21,,,,,,,,,,,,,,,,,,,,,,,,,103.8
35,1981-02-23,127.35,,,,,,,,,,,,,501.5,,193.06,7095.26,241.68,,,,,,,103.2
36,1981-02-24,127.39,,,,,,,,,,,,,503,,193.94,7111.23,242.81,,,,,,,103.5
37,1981-02-25,128.52,,,,,,,,,,,,,500.5,,193.99,7121.66,242.92,,,,,,,104
38,1981-02-26,130.1,,,,,,,,,,,,,492,,196.13,7120.24,246.12,,,,,,,103.9
39,1981-02-27,131.27,,,,,,,,,,,,,489,,198.01,7146.53,249.12,,,,,,,103.7
10127,1981-02-28,,,,,,,,,,,,,,,,,,,,,,,,,104.1
40,1981-03-02,132.01,,,,,,,,,,,,,465.5,,199.06,7155.58,250.9,,,,,,,104.2
41,1981-03-03,130.56,,,,,,,,,,,,,471,,198.35,7137.12,249.58,,,,,,,
42,1981-03-04,130.86,,,,,,,,,,,,,465.5,,198.75,7134.39,250.25,,,,,,,103.3
43,1981-03-05,129.93,,,,,,,,,,,,,461.5,,199.05,7094.03,250.19,,,,,,,103.3
44,1981-03-06,129.85,,,,,,,,,,,,,467,,199.89,7081.19,251.3,,,,,,,103
10128,1981-03-07,,,,,,,,,,,,,,,,,,,,,,,,,103.1
45,1981-03-09,131.12,,,,,,,,,,,,,474.25,,200.14,7068.73,251.39,,,,,,,103.3
46,1981-03-10,130.46,,,,,,,,,,,,,487.25,,199.03,7059.41,249.17,,,,,,,
47,1981-03-11,129.95,,,,,,,,,,,,,476.25,,198.16,7044.87,247.69,,,,,,,103.6
48,1981-03-12,133.19,,,,,,,,,,,,,478,,200.67,6986.39,251.72,,,,,,,103.9
49,1981-03-13,133.11,,,,,,,,,,,,,492,,202.17,6956.52,253.64,,,,,,,104.1
10129,1981-03-14,,,,,,,,,,,,,,,,,,,,,,,,,104.7
50,1981-03-16,134.68,,,,,,,,,,,,,499.75,,203.44,7124.33,255.55,,,,,,,105.7
51,1981-03-17,133.92,,,,,,,,,,,,,493.25,,203.19,7120.39,254.87,,,,,,,105.6
52,1981-03-18,134.22,,,,,,,,,,,,,506,,204,7176.67,255.87,,,,,,,105.9
53,1981-03-19,133.46,,,,,,,,,,,,,510,,204.45,7196.8,255.77,,,,,,,105.6
54,1981-03-20,134.08,,,,,,,,,,,,,516.75,,206.29,7220.94,258.32,,,,,,,105.9
10130,1981-03-21,,,,,,,,,,,,,,,,,,,,,,,,,106
55,1981-03-23,135.69,,,,,,,,,,,,,526,,207.62,7293.57,260.17,,,,,,,105.4
56,1981-03-24,134.67,,,,,,,,,,,,,536.25,,207.7,7318.19,260.42,,,,,,,105.2
57,1981-03-25,137.11,,,,,,,,,,,,,528,,209.31,7325.96,263.26,,,,,,,
58,1981-03-26,136.27,,,,,,,,,,,,,539.5,,209.53,7307.27,263.8,,,,,,,105.3
59,1981-03-27,134.65,,,,,,,,,,,,,538.75,,208.82,7303.04,262.83,,,,,,,105.7
10131,1981-03-28,,,,,,,,,,,,,,,,,,,,,,,,,106.6
60,1981-03-30,134.28,,,,,,,,,,,,,526.5,,208.96,7304.69,263.01,,,,,,,106.3
61,1981-03-31,136,,,,,,,,,,,,,513.75,,210.18,7334.31,264.85,,,,,,,107.4
62,1981-04-01,136.57,,,,,,,,,,,,,514.25,,211.34,7389.99,266.36,,,,,,,107.6
63,1981-04-02,136.32,,,,,,,,,,,,,519.5,,211.96,7416.97,267.1,,,,,,,109.2
64,1981-04-03,135.49,,,,,,,,,,,,,523,,212.65,7421.19,268.34,,,,,,,109.7
10132,1981-04-04,,,,,,,,,,,,,,,,,,,,,,,,,110.5
65,1981-04-06,133.93,,,,,,,,,,,,,533.75,,211.27,7447.74,266.34,,,,,,,110.3
66,1981-04-07,133.91,,,,,,,,,,,,,514.25,,211.76,7458.36,266.86,,,,,,,109.6
67,1981-04-08,134.91,,,,,,,,,,,,,508.5,,212.8,7508.52,268.45,,,,,,,111
68,1981-04-09,134.67,,,,,,,,,,,,,503,,213.91,7491.82,270.03,,,,,,,110.8
69,1981-04-10,134.51,,,,,,,,,,,,,493.5,,215.15,7517.31,271.62,,,,,,,112
10133,1981-04-11,,,,,,,,,,,,,,,,,,,,,,,,,111.8
70,1981-04-13,133.15,,,,,,,,,,,,,473.75,,214.33,7536.96,270.18,,,,,,,111.5
71,1981-04-14,132.68,,,,,,,,,,,,,483,,213.39,7514.88,268.52,,,,,,,110.9
72,1981-04-15,134.17,,,,,,,,,,,,,476.25,,214.98,7461.2,271.12,,,,,,,111
73,1981-04-16,134.7,,,,,,,,,,,,,482.5,,216.64,7418.74,273.5,,,,,,,110.7
10080,1981-04-17,,,,,,,,,,,,,,,,,7438.8,,,,,,,,111
10134,1981-04-18,,,,,,,,,,,,,,,,,,,,,,,,,111.8
74,1981-04-20,135.45,,,,,,,,,,,,,,,217.55,7484.71,274.87,,,,,,,111.3
75,1981-04-21,134.23,,,,,,,,,,,,,481,,216.73,7497.36,272.98,,,,,,,111.2
76,1981-04-22,134.14,,,,,,,,,,,,,501,,217.19,7533.22,273.56,,,,,,,111.6
77,1981-04-23,133.94,,,,,,,,,,,,,488.5,,218.02,7523.72,274.03,,,,,,,112.7
78,1981-04-24,135.14,,,,,,,,,,,,,494.5,,219.56,7534.41,275.91,,,,,,,113.3
10135,1981-04-25,,,,,,,,,,,,,,,,,,,,,,,,,113.5
79,1981-04-27,135.48,,,,,,,,,,,,,483,,219.88,7588.03,275.88,,,,,,,116.1
80,1981-04-28,134.33,,,,,,,,,,,,,482.75,,217.63,7623.81,272.1,,,,,,,116.9
81,1981-04-29,133.05,,,,,,,,,,,,,477.25,,216.22,,270.21,,,,,,,120.2
82,1981-04-30,132.81,,,,,,,,,,,,,482.75,,216.74,7674.19,271.21,,,,,,,122.4
83,1981-05-01,132.72,,,,,,,,,,,,,487.5,,216.68,7575.61,271.46,,,,,,,123.6
10136,1981-05-02,,,,,,,,,,,,,,,,,,,,,,,,,123.5
84,1981-05-04,130.67,,,,,,,,,,,,,,,213.32,,266.46,,,,,,,120.6
85,1981-05-05,130.32,,,,,,,,,,,,,476.25,,211.55,,264.58,,,,,,,
86,1981-05-06,130.78,,,,,,,,,,,,,482,,211.98,7465.3,265.41,,,,,,,120.7
87,1981-05-07,131.67,,,,,,,,,,,,,477.75,,213.66,7440.52,268.55,,,,,,,119.3
88,1981-05-08,131.66,,,,,,,,,,,,,485.75,,214.84,7495.25,270.5,,,,,,,118.7
10137,1981-05-09,,,,,,,,,,,,,,,,,,,,,,,,,118.8
89,1981-05-11,129.71,,,,,,,,,,,,,493,,212.79,7551.19,267.33,,,,,,,
90,1981-05-12,130.72,,,,,,,,,,,,,484,,213.12,7480.24,268.17,,,,,,,118.8
91,1981-05-13,130.55,,,,,,,,,,,,,484.25,,213.78,7390.64,269.06,,,,,,,119.9
92,1981-05-14,131.28,,,,,,,,,,,,,476.5,,215.18,7467.45,271.16,,,,,,,121.5
93,1981-05-15,132.17,,,,,,,,,,,,,485,,216.51,7486.84,273.14,,,,,,,121.4
10138,1981-05-16,,,,,,,,,,,,,,,,,,,,,,,,,121.5
94,1981-05-18,132.54,,,,,,,,,,,,,481.75,,216.94,7451.89,273.55,,,,,,,121.1
95,1981-05-19,132.09,,,,,,,,,,,,,481.5,,216.12,7264.01,272.17,,,,,,,120.9
96,1981-05-20,132,,,,,,,,,,,,,479.75,,217.63,7371.27,274.41,,,,,,,121.4
97,1981-05-21,131.75,,,,,,,,,,,,,475,,218.35,7487.46,275.43,,,,,,,121.4
98,1981-05-22,131.33,,,,,,,,,,,,,472.75,,219.23,7541.02,276.81,,,,,,,120.8
10139,1981-05-23,,,,,,,,,,,,,,,,,,,,,,,,,120.5
10081,1981-05-25,,,,,,,,,,,,,,,,,7560.77,,,,,,,,121.5
99,1981-05-26,132.77,,,,,,,,,,,,,466.5,,220.24,7576.18,278.48,,,,,,,123
100,1981-05-27,133.77,,,,,,,,,,,,,466.75,,222.17,7529.2,281.15,,,,,,,124.8
101,1981-05-28,133.45,,,,,,,,,,,,,479,,223.31,7502.03,282.78,,,,,,,125.9
102,1981-05-29,132.59,,,,,,,,,,,,,479.25,,223.47,7539.69,283.03,,,,,,,126.5
10140,1981-05-30,,,,,,,,,,,,,,,,,,,,,,,,,126.3
103,1981-06-01,132.41,,,,,,,,,,,,,483.25,,223.02,7589.95,281.57,,,,,,,126.4
104,1981-06-02,130.62,,,,,,,,,,,,,474,,219.59,7504.49,275.87,,,,,,,126.5
105,1981-06-03,130.71,,,,,,,,,,,,,474.5,,218.89,7480.58,274.4,,,,,,,126.3
106,1981-06-04,130.96,,,,,,,,,,,,,462.5,,219.68,7413.24,275.22,,,,,,,126.4
107,1981-06-05,132.22,,,,,,,,,,,,,460,,221.3,7430.37,277.6,,,,,,,127.7
108,1981-06-08,132.24,,,,,,,,,,,,,473.5,,220.84,7334.97,276.27,,,,,,,129.8
109,1981-06-09,131.97,,,,,,,,,,,,,460.5,,220.01,7375.27,274.7,,,,,,,128.7
110,1981-06-10,132.32,,,,,,,,,,,,,465.25,,220.4,7484.52,274.93,,,,,,,128.3
111,1981-06-11,133.75,,,,,,,,,,,,,464.25,,222.34,7569.3,277.69,,,,,,,134.7
112,1981-06-12,133.49,,,,,,,,,,,,,472,,222.76,7634.86,277.71,,,,,,,136.3
10141,1981-06-13,,,,,,,,,,,,,,,,,,,,,,,,,137.6
113,1981-06-15,133.61,,,,,,,,,,,,,471.25,,222.96,7711.73,276.92,,,,,,,139.5
114,1981-06-16,132.15,,,,,,,,,,,,,461.5,,220.58,7696.52,272.37,,,,,,,142.8
115,1981-06-17,133.32,,,,,,,,,,,,,461.75,,220.61,7705.3,272.28,,,,,,,139.5
116,1981-06-18,131.64,,,,,,,,,,,,,459,,218.71,7712.01,269.58,,,,,,,134.8
117,1981-06-19,132.27,,,,,,,,,,,,,458.25,,219.56,7714.57,271.08,,,,,,,138.6
10142,1981-06-20,,,,,,,,,,,,,,,,,,,,,,,,,139.8
118,1981-06-22,131.95,,,,,,,,,,,,,462,,218.6,7668.86,269.48,,,,,,,138.8
119,1981-06-23,133.35,,,,,,,,,,,,,466.5,,219.23,7705.41,270.59,,,,,,,139.2
120,1981-06-24,132.66,,,,,,,,,,,,,462,,218.77,7706.61,269.53,,,,,,,141.6
121,1981-06-25,132.81,,,,,,,,,,,,,446.5,,219.31,7692.84,270.23,,,,,,,141.8
122,1981-06-26,132.56,,,,,,,,,,,,,442,,219.76,7726,271.29,,,,,,,142.7
10143,1981-06-27,,,,,,,,,,,,,,,,,,,,,,,,,144.5
123,1981-06-29,131.89,,,,,,,,,,,,,428.75,,218.22,7851.73,269.15,,,,,,,147.3
124,1981-06-30,131.21,,,,,,,,,,,,,426,,215.75,7867.42,265.68,,,,,,,150.8
125,1981-07-01,129.77,,,,,,,,,,,,,422,,214.63,7894.93,263.88,,,,,,,156.4
126,1981-07-02,128.64,,,,,,,,,,,,,414.5,,212.8,7904.56,261.22,,,,,,,155
10057,1981-07-03,,,,,,,,,,,,,,414,,,7925.34,,,,,,,,155.7
10144,1981-07-04,,,,,,,,,,,,,,,,,,,,,,,,,157.8
127,1981-07-06,127.37,,,,,,,,,,,,,403.75,,209.1,7927.36,255.54,,,,,,,160.9
128,1981-07-07,128.24,,,,,,,,,,,,,405,,208.01,7826.47,253.51,,,,,,,165.9
129,1981-07-08,128.32,,,,,,,,,,,,,397.75,,208.44,7916.38,253.98,,,,,,,163.1
130,1981-07-09,129.3,,,,,,,,,,,,,406.25,,210.03,7895.16,256.36,,,,,,,163.8
131,1981-07-10,129.37,,,,,,,,,,,,,416.5,,210.54,7912.98,257.16,,,,,,,159.9
10145,1981-07-11,,,,,,,,,,,,,,,,,,,,,,,,,160.3
132,1981-07-13,129.64,,,,,,,,,,,,,413,,210.86,7923.86,257.39,,,,,,,158.3
133,1981-07-14,129.65,,,,,,,,,,,,,402.25,,209.88,7878.96,255.95,,,,,,,155.8
134,1981-07-15,130.25,,,,,,,,,,,,,412.25,,210.84,7853.95,257.81,,,,,,,155
135,1981-07-16,130.34,,,,,,,,,,,,,418.25,,212.02,7887.38,259.45,,,,,,,155.9
136,1981-07-17,130.76,,,,,,,,,,,,,415,,212.76,7876.89,260.63,,,,,,,
10146,1981-07-18,,,,,,,,,,,,,,,,,,,,,,,,,158.7
137,1981-07-20,128.72,,,,,,,,,,,,,412.5,,209.27,7840.16,255.9,,,,,,,155.2
138,1981-07-21,128.34,,,,,,,,,,,,,406,,207.71,7756.76,253.3,,,,,,,155.5
139,1981-07-22,127.13,,,,,,,,,,,,,411.5,,206.16,7760.84,252.15,,,,,,,153.1
140,1981-07-23,127.4,,,,,,,,,,,,,407.75,,206.41,7717.07,252.82,,,,,,,150
141,1981-07-24,128.46,,,,,,,,,,,,,407.5,,208,7743.08,255.05,,,,,,,147.8
10147,1981-07-25,,,,,,,,,,,,,,,,,,,,,,,,,149.4
142,1981-07-27,129.9,,,,,,,,,,,,,408.75,,209.42,7816.76,256.95,,,,,,,146.9
143,1981-07-28,129.14,,,,,,,,,,,,,401.5,,208.91,7784.84,256.24,,,,,,,144.4
144,1981-07-29,129.16,,,,,,,,,,,,,,,208.95,7823.56,256.27,,,,,,,145.5
145,1981-07-30,130.01,,,,,,,,,,,,,402.25,,210.03,7831.35,257.89,,,,,,,147.5
146,1981-07-31,130.92,,,,,,,,,,,,,406,,211.63,7828.26,260.08,,,,,,,148.1
10148,1981-08-01,,,,,,,,,,,,,,,,,,,,,,,,,148.3
147,1981-08-03,130.48,,,,,,,,,,,,,392.5,,210.4,7815.97,258.08,,,,,,,151
148,1981-08-04,131.98,,,,,,,,,,,,,391.25,,210.09,7820.06,257.89,,,,,,,151.3
149,1981-08-05,132.67,,,,,,,,,,,,,392.4,,211.03,7888.53,259.35,,,,,,,149.4
150,1981-08-06,132.64,,,,,,,,,,,,,393.25,,211.67,7906.1,260.28,,,,,,,151.6
151,1981-08-07,131.75,,,,,,,,,,,,,397.25,,211.36,7968.93,259.77,,,,,,,151.9
10149,1981-08-08,,,,,,,,,,,,,,,,,,,,,,,,,151.2
152,1981-08-10,132.54,,,,,,,,,,,,,393.75,,210.84,7978.47,258.9,,,,,,,148.9
153,1981-08-11,133.85,,,,,,,,,,,,,401,,211.67,7985.64,260.24,,,,,,,148.4
154,1981-08-12,133.4,,,,,,,,,,,,,417.5,,211.95,7938.89,260.4,,,,,,,147.5
155,1981-08-13,133.51,,,,,,,,,,,,,407.25,,212.36,7953.57,261.4,,,,,,,144.6
156,1981-08-14,132.49,,,,,,,,,,,,,413,,212.12,7976.4,261,,,,,,,142.4
157,1981-08-17,131.22,,,,,,,,,,,,,411.5,,209.65,8019.14,257.1,,,,,,,144.6
158,1981-08-18,130.11,,,,,,,,,,,,,420,,207.01,7949.38,253.08,,,,,,,141.9
159,1981-08-19,130.49,,,,,,,,,,,,,431.5,,207.22,7961.52,253.64,,,,,,,141
160,1981-08-20,130.69,,,,,,,,,,,,,429,,207.97,7972.96,254.6,,,,,,,142.5
161,1981-08-21,129.23,,,,,,,,,,,,,429.5,,206.76,7995.23,252.21,,,,,,,145
10150,1981-08-22,,,,,,,,,,,,,,,,,,,,,,,,,144.1
162,1981-08-24,125.5,,,,,,,,,,,,,422,,200.76,7917.53,243.11,,,,,,,143.5
163,1981-08-25,126.13,,,,,,,,,,,,,409.75,,197.78,7817.22,238.99,,,,,,,140.8
164,1981-08-26,124.96,,,,,,,,,,,,,414,,197.81,7852.29,239.05,,,,,,,140.5
165,1981-08-27,123.51,,,,,,,,,,,,,411.75,,196.82,7796.39,237.26,,,,,,,140.3
166,1981-08-28,124.08,,,,,,,,,,,,,425.5,,197.55,7726.59,238.4,,,,,,,141.9
10151,1981-08-29,,,,,,,,,,,,,,,,,,,,,,,,,141.5
167,1981-08-31,122.79,,,,,,,,,,,,,,,195.75,7815.78,235.86,,,,,,,140.1
168,1981-09-01,123.02,,,,,,,,,,,,,421.5,,195.17,7735.71,235.14,,,,,,,140.4
169,1981-09-02,123.49,,,,,,,,,,,,,430,,195.39,7678.17,235.51,,,,,,,140.2
170,1981-09-03,121.24,,,,,,,,,,,,,436.5,,191.99,7678.46,230.18,,,,,,,141.9
171,1981-09-04,120.07,,,,,,,,,,,,,439.5,,189.63,7662.59,226.74,,,,,,,143.7
10152,1981-09-05,,,,,,,,,,,,,,,,,,,,,,,,,144.5
10058,1981-09-07,,,,,,,,,,,,,,436.5,,,7604.17,,,,,,,,145.1
172,1981-09-08,117.98,,,,,,,,,,,,,439,,184.79,7594.71,219.74,,,,,,,144.1
173,1981-09-09,118.4,,,,,,,,,,,,,436.75,,184.77,7629.17,220.25,,,,,,,146.2
174,1981-09-10,120.14,,,,,,,,,,,,,451.5,,187.55,7583.27,224.47,,,,,,,145
175,1981-09-11,121.61,,,,,,,,,,,,,446.25,,189.81,7543.45,227.81,,,,,,,145.6
176,1981-09-14,120.66,,,,,,,,,,,,,451.25,,189.62,7542.82,227.28,,,,,,,145.1
177,1981-09-15,119.77,,,,,,,,,,,,,456,,189.56,,226.92,,,,,,,144.7
178,1981-09-16,118.87,,,,,,,,,,,,,449,,187.82,7506.33,223.97,,,,,,,142.9
179,1981-09-17,117.15,,,,,,,,,,,,,459,,185.71,7539.27,220.05,,,,,,,140.7
180,1981-09-18,116.26,,,,,,,,,,,,,447,,184.27,7548.57,218.57,,,,,,,143
10153,1981-09-19,,,,,,,,,,,,,,,,,,,,,,,,,143.4
181,1981-09-21,117.24,,,,,,,,,,,,,463.5,,184.41,7522.6,218.64,,,,,,,142
182,1981-09-22,116.68,,,,,,,,,,,,,462,,183.26,7492.96,216.76,,,,,,,141.1
183,1981-09-23,115.65,,,,,,,,,,,,,456.5,,179.99,,211.75,,,,,,,139.4
184,1981-09-24,115.01,,,,,,,,,,,,,446.25,,180.39,7364.03,212.46,,,,,,,138
185,1981-09-25,112.77,,,,,,,,,,,,,450.5,,175.12,7363.06,204.62,,,,,,,137.8
10154,1981-09-26,,,,,,,,,,,,,,,,,,,,,,,,,138.9
186,1981-09-28,115.53,,,,,,,,,,,,,421.5,,175.03,7037.12,204.84,,,,,,,137.1
187,1981-09-29,115.94,,,,,,,,,,,,,431.75,,178.51,7357.68,210.14,,,,,,,135.1
188,1981-09-30,116.18,,,,,,,,,,,,,428.75,,180.03,7455.5,212.22,,,,,,,132.3
189,1981-10-01,117.08,,,,,,,,,,,,,436.75,,181.09,7365.91,214.17,,,,,,,
190,1981-10-02,119.36,,,,,,,,,,,,,435,,184.37,7377.13,219.04,,,,,,,136.3
191,1981-10-05,119.51,,,,,,,,,,,,,441.25,,185.91,7499.75,220.86,,,,,,,140.7
192,1981-10-06,119.39,,,,,,,,,,,,,443,,185.87,7506.01,220.96,,,,,,,142.6
193,1981-10-07,121.31,,,,,,,,,,,,,445.5,,188.78,7545.88,225.19,,,,,,,142.5
194,1981-10-08,122.31,,,,,,,,,,,,,443.25,,191.01,7522.51,228.55,,,,,,,138.8
195,1981-10-09,121.45,,,,,,,,,,,,,453.5,,191.27,7516.22,228.66,,,,,,,
10155,1981-10-10,,,,,,,,,,,,,,,,,,,,,,,,,138.7
196,1981-10-12,121.21,,,,,,,,,,,,,449.5,,191.28,7587.8,228.31,,,,,,,135.9
197,1981-10-13,120.98,,,,,,,,,,,,,443.25,,191.92,7583.17,229.39,,,,,,,134.2
198,1981-10-14,118.8,,,,,,,,,,,,,444.25,,189.43,7494.13,225.31,,,,,,,136
199,1981-10-15,119.71,,,,,,,,,,,,,446.65,,189.85,7352.49,225.84,,,,,,,133.3
200,1981-10-16,119.19,,,,,,,,,,,,,443.75,,190.24,7231.42,226.24,,,,,,,132
10156,1981-10-17,,,,,,,,,,,,,,,,,,,,,,,,,131.8
201,1981-10-19,118.98,,,,,,,,,,,,,436.7,,189.77,7076.65,225.48,,,,,,,131.2
202,1981-10-20,120.28,,,,,,,,,,,,,437.3,,191.23,7109.92,227.45,,,,,,,131.6
203,1981-10-21,120.1,,,,,,,,,,,,,429,,192.38,7253.99,228.82,,,,,,,129.9
204,1981-10-22,119.64,,,,,,,,,,,,,433.75,,192.43,7216.29,228.53,,,,,,,130.2
205,1981-10-23,118.6,,,,,,,,,,,,,432.5,,191.91,7262.19,227.97,,,,,,,128.9
10157,1981-10-24,,,,,,,,,,,,,,,,,,,,,,,,,129.1
206,1981-10-26,118.16,,,,,,,,,,,,,426,,191.01,7261.8,226.5,,,,,,,126.3
207,1981-10-27,119.29,,,,,,,,,,,,,427.4,,192.61,7280.58,229.07,,,,,,,125.4
208,1981-10-28,119.45,,,,,,,,,,,,,430.8,,193.75,7321.98,230.84,,,,,,,125.9
209,1981-10-29,119.06,,,,,,,,,,,,,424.5,,193.08,7428.25,229.74,,,,,,,123.8
210,1981-10-30,121.89,,,,,,,,,,,,,427,,195.24,7449.46,233.02,,,,,,,121.3
10158,1981-10-31,,,,,,,,,,,,,,,,,,,,,,,,,123
211,1981-11-02,124.2,,,,,,,,,,,,,430,,197.25,7539.63,235.74,,,,,,,123.8
212,1981-11-03,124.8,,,,,,,,,,,,,428.25,,198.78,,237.65,,,,,,,127.9
213,1981-11-04,124.74,,,,,,,,,,,,,431.25,,199.73,7572.15,238.41,,,,,,,128.9
214,1981-11-05,123.54,,,,,,,,,,,,,428.5,,200.02,7546.5,238.39,,,,,,,127.2
215,1981-11-06,122.67,,,,,,,,,,,,,428.25,,199.97,7536.53,238.17,,,,,,,124.9
10159,1981-11-07,,,,,,,,,,,,,,,,,,,,,,,,,124.6
216,1981-11-09,123.29,,,,,,,,,,,,,429.75,,199.92,7516.35,237.73,,,,,,,122.5
217,1981-11-10,122.7,,,,,,,,,,,,,418.5,,199.9,7528.21,237.32,,,,,,,122
218,1981-11-11,122.92,,,,,,,,,,,,,412,,200.05,7502.58,237.26,,,,,,,121.5
219,1981-11-12,123.19,,,,,,,,,,,,,411.5,,200.99,7505.02,238.09,,,,,,,122.4
220,1981-11-13,121.67,,,,,,,,,,,,,412.5,,200.16,7569.51,236.06,,,,,,,125.1
10160,1981-11-14,,,,,,,,,,,,,,,,,,,,,,,,,124.8
221,1981-11-16,120.24,,,,,,,,,,,,,404.25,,197.16,7674.92,231.39,,,,,,,126.9
222,1981-11-17,121.15,,,,,,,,,,,,,398.75,,197.68,7648.6,232.03,,,,,,,126.3
223,1981-11-18,120.26,,,,,,,,,,,,,403.75,,197.6,7667.31,231.64,,,,,,,127.3
224,1981-11-19,120.71,,,,,,,,,,,,,401,,197.32,7655.26,231.06,,,,,,,128.1
225,1981-11-20,121.71,,,,,,,,,,,,,401.5,,198.6,7647.43,232.95,,,,,,,131.6
10161,1981-11-21,,,,,,,,,,,,,,,,,,,,,,,,,133.8
226,1981-11-23,121.6,,,,,,,,,,,,,396.75,,198.01,,231.91,,,,,,,137.1
227,1981-11-24,123.51,,,,,,,,,,,,,399.25,,199.04,7602.69,233.11,,,,,,,134.4
228,1981-11-25,124.05,,,,,,,,,,,,,409.5,,200.01,7650.79,234.38,,,,,,,132.5
10059,1981-11-26,,,,,,,,,,,,,,409.5,,,7664.69,,,,,,,,130.9
229,1981-11-27,125.09,,,,,,,,,,,,,411.5,,201.02,7555.23,235.68,,,,,,,131.7
