,ticker,index
0,SPXIndex,noteco
1,CCMPIndex,noteco
2,NKYIndex,noteco
3,CINDIndex,noteco
4,IXKIndex,noteco
5,XCIIndex,noteco
6,SOXIndex,noteco
7,MSERIndex,noteco
8,NMDPIndex,noteco
9,SZCOMPIndex,noteco
10,KOSPIIndex,noteco
11,CL1Comdty,noteco
12,LMAHDS03Comdty,noteco
13,LMCADS03Comdty,noteco
14,XAUCurncy,noteco
15,LMNIDS03Comdty,noteco
16,MSRUITIndex,noteco
17,MSRUMATIndex,noteco
18,MXWO0ITIndex,noteco
19,MXWO0MTIndex,noteco
20,MXUS0ITIndex,noteco
21,MXEF0ITIndex,noteco
22,MXEF0MTIndex,noteco
23,NU722094Index,noteco
24,NU721934Index,noteco
25,LT10TRUUIndex,noteco
26,USDJPYBGNCurncy,noteco
27,USDKRWBGNCurncy,noteco
28,FDTRIndex,noteco
29,GTUSD10YGovt,noteco
30,DXYCurncy,noteco
31,GDPCQOQIndex,eco
32,GDPCYOYIndex,eco
33,GDPCTOT%Index,eco
34,GPDITOC%Index,eco
35,GPGSTOC%Index,eco
36,RGCDCIPIIndex,eco
37,GDPCUR$Index,eco
38,GDPCURYIndex,eco
39,GDPPIQQIndex,eco
40,GDPCPCECIndex,eco
41,CPIYOYIndex,eco
42,CPIXYOYIndex,eco
43,PCEDEFYIndex,eco
44,PCECYOYIndex,eco
45,CPICHNGIndex,eco
46,CPUPXCHGIndex,eco
47,FDIDFDMOIndex,eco
48,FDIDSGMOIndex,eco
49,FDIUFDYOIndex,eco
50,FDIUSGYOIndex,eco
51,USURTOTIndex,eco
52,USUDMAERIndex,eco
53,INJCJCIndex,eco
54,INJCSPIndex,eco
55,NFPTCHIndex,eco
56,NFPPCHIndex,eco
57,USMMMNCHIndex,eco
58,AWHTOTLIndex,eco
59,USWHTOTIndex,eco
60,USEMTOTIndex,eco
61,USEMNCHGIndex,eco
62,USERTOTIndex,eco
63,EMDINP1MIndex,eco
64,JOLTOPENIndex,eco
65,JOLTHIRSIndex,eco
66,JOLTSEPSIndex,eco
67,CHALYOY%Index,eco
68,ADPCHNGIndex,eco
69,USHEYOYIndex,eco
70,USHETOT%Index,eco
71,ECIYOYIndex,eco
72,COSTNFR%Index,eco
73,PRODNFR%Index,eco
74,IPYOYIndex,eco
75,IPCHNGIndex,eco
76,CPTICHNGIndex,eco
77,TMNOCHNGIndex,eco
78,DGNOYOYIndex,eco
79,DGNOCHNGIndex,eco
80,MTIBCHNGIndex,eco
81,MWINCHNGIndex,eco
82,MGT2TBIndex,eco
83,MGT2MAIndex,eco
84,MGT2WHIndex,eco
85,MGT2WHDUIndex,eco
86,MGT2REIndex,eco
87,IPIndex,eco
88,MTSLRL$Index,eco
89,AGWHTOTLIndex,eco
90,NFPTIndex,eco
91,PIDSPINXIndex,eco
92,NAPMPMIIndex,eco
93,NAPMNMIIndex,eco
94,NAPMPRICIndex,eco
95,MPMIUSCAIndex,eco
96,MPMIUSMAIndex,eco
97,MPMIUSSAIndex,eco
98,CFNAIIndex,eco
99,CFNAIMA3Index,eco
100,OUTFGAFIndex,eco
101,EMPRGBCIIndex,eco
102,RCHSINDXIndex,eco
103,CHPMINDXIndex,eco
104,MAPMINDXIndex,eco
105,OEUSKLARIndex,eco
106,OEUSKLAPIndex,eco
107,LEITOTLIndex,eco
108,LEIYOYIndex,eco
109,LEICHNGIndex,eco
110,LEIAVGWIndex,eco
111,LEIWKIJIndex,eco
112,LEINWCNIndex,eco
113,NAPMNEWOIndex,eco
114,LEIMNOIndex,eco
115,LEIBPIndex,eco
116,LEISTKPIndex,eco
117,LEILCIIndex,eco
118,LEIIRTEIndex,eco
119,LEIACEIndex,eco
