DATE|Actual Value|Prediction Value
20161108|0.0025889474999987038|0.007730198119958858
20161109|-0.022142587699998568|0.00043671583122275887
20161110|0.022338447199997433|0.007980747162013574
20161111|-0.01308908889999928|-0.00013781841442194256
20161114|-0.007888487099999801|0.0010822415351867676
20161115|-0.00324513019999985|-0.0003497290403650422
20161116|0.004484312500000682|0.0032456513362492997
20161117|0.0005591276999998688|-0.0015462260790891288
20161118|-0.0009986618000006483|0.0030833986375087474
20161121|-0.002801570800000001|-0.0003216036814791564
20161122|0.011397270099999786|0.0021907978841645775
20161123|0.005098523000000008|-0.00015649422120382703
20161124|-0.0064466596000008055|0.0010317469018661912
20161125|0.0009121737000006158|0.0009327307719627159
20161128|0.0027710718000006776|-4.0208565455088425e-05
20161129|-0.0001976793000011542|9.938275185595991e-05
20161130|0.005323671300000208|0.0008982009708285568
20161201|0.000864881900000101|0.0015428672730887156
20161202|-0.0063071795000002725|-0.0019197646789892936
20161205|-0.0029305790999991765|0.0030332124534724263
20161206|0.013746597699998184|0.003387713691287703
20161207|0.002773601800002177|0.0009213267175269982
20161208|0.02183981549999901|0.003415048122406006
20161209|-0.004168983499999625|-0.0007555840489131397
20161212|-0.0007284857999998581|9.834766387939453e-06
20161213|0.0034842574000002327|-0.00195377228938422
20161214|0.0014132118999991986|0.0018707601800979313
20161215|-0.0021014431999999547|-0.004607450513042251
20161216|0.004236566700000375|0.001396063065760705
20161219|-0.002402334800000196|0.00034116658830549715
20161220|0.002516587899999743|-0.00025384873068518124
20161221|-0.0018677700999996237|-0.001141082280301711
20161222|-0.0004961168999999676|-0.0020472061647858948
20161223|-0.001375148200000189|-0.0013625868485131034
20161226|0.0011079062999996704|0.00014048684543923077
20161227|0.0022502346000008314|-0.001769434238676558
20161228|-0.010685867400000342|-0.002663218425179393
20161229|0.0011929731000002032|-0.0023019280031073177
20170102|0.001345196899999998|0.0004449921972269678
20170103|0.009974668499999936|0.001323816808890539
20170104|0.0005702447000004308|0.0006030692576180913
20170105|-0.004342036900000692|-0.0010292232036590576
20170106|0.004646034500000327|-0.003373958848088483
20170109|0.0020495699000004793|-0.0010239317201491613
20170110|-3.7916900001113384e-05|-0.0011813417149003054
20170111|0.016620672899999345|-0.00032401084899902344
20170112|0.006690231300001225|0.0019926487762846976
20170113|-0.007585653499999636|-0.00026963972347931564
20170116|-0.006591043600000303|-0.0003268609550742441
20170117|0.004573407299999654|0.002559815435570796
20170118|-0.0010852278999999975|0.0006718667019594161
20170119|0.00231871149999917|0.0010793931583390729
20170120|-0.0044176627999990125|0.0005352974505655036
20170123|0.0022487078999988575|0.0010158482770547623
20170124|0.0006736275000003168|0.0021889646215066893
20170125|0.0031749022999996036|0.004309177398681641
20170126|0.008651633000001258|0.0045699863396886625
20170131|-0.008875413400000209|-0.0009895204696378284
20170201|0.005468255099999364|-0.0005992156925350529
20170202|-0.0039773307999997455|-0.0007807687679114009
20170203|0.0013399340000006424|0.0005950331687927246
20170206|0.002377680599999532|0.005025420054738932
20170207|-0.0019314347000003564|-0.0004756159901654453
20170208|-0.00465819099999899|0.00015069162539628825
20170209|-0.00011206360000050059|0.00185316801071167
20170210|0.0036170450000003627|0.0030853076193747544
20170213|0.0005581706999997381|0.0019408926211728424
20170214|-0.003391033700000723|-0.0006694967734323456
20170215|0.0033910337000007005|0.000989264900331082
20170216|0.00044631239999935995|0.0002703032578944527
20170217|-0.0003347155999993247|-0.0007360258000026804
20170220|0.003305051599999931|0.00020717577216952687
